Sl. No,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,01 Jan 2020
2,Agra,Fatehpur Sikri,Potato,Local,FAQ,1400,1520,1455,01 Jan 2020
3,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,01 Jan 2020
4,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,01 Jan 2020
5,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,01 Jan 2020
6,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,01 Jan 2020
1,Agra,Agra,Potato,Desi,FAQ,1300,1500,1400,02 Jan 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,02 Jan 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,1360,1500,1420,02 Jan 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1200,1400,1300,02 Jan 2020
5,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,02 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,02 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,02 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,03 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1300,1450,1380,03 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,03 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1370,1500,1435,03 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1250,1300,1275,03 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,03 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,03 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,04 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1240,1400,1310,04 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1170,1250,1200,04 Jan 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1220,1280,1250,04 Jan 2020
5,Agra,Khairagarh,Potato,Desi,FAQ,1000,1200,1100,04 Jan 2020
6,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,04 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1280,1360,1320,05 Jan 2020
2,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,05 Jan 2020
